run	success	duration	cost	LI__ICGIM_Vmax	LI__ICGIM_Km	LI__ICGLI2CA_Vmax	LI__ICGLI2CA_Km	LI__ICGLI2BI_Vmax	message	x	x0
52	True	12.803751707077026	27.227546348752156	0.04234135308102928	0.02689578526128824	0.0003986522001928524	0.08626135230264764	0.0008352518302541941	`xtol` termination condition is satisfied.	[0.04234135 0.02689579 0.00039865 0.08626135 0.00083525]	"[6.51603025e+01 1.71982833e-03 2.08340326e-04 5.43175408e-03
 1.46066317e-03]"
145	True	14.737619638442993	27.227631586637504	0.024445202398522305	0.015203961476633967	0.09122150462991233	5.3823961989320726	0.00011770311831717079	`xtol` termination condition is satisfied.	"[2.44452024e-02 1.52039615e-02 9.12215046e-02 5.38239620e+00
 1.17703118e-04]"	"[7.32807659e+00 2.11331476e-04 4.59345760e-02 9.27614538e-02
 3.42882949e-03]"
32	True	11.538408994674683	27.227894952969642	0.022844719482824693	0.014179536560732566	0.505822383806945	153.6731417781521	0.0006449612296241215	`xtol` termination condition is satisfied.	"[2.28447195e-02 1.41795366e-02 5.05822384e-01 1.53673142e+02
 6.44961230e-04]"	"[1.82782509e-03 9.31071010e-04 9.81943912e-02 6.83491813e+01
 3.08555621e-01]"
34	True	15.918740272521973	27.228086975620954	0.022489919006125476	0.013923074620763452	9.997896234978825	3075.347647154461	0.000659041743939412	`xtol` termination condition is satisfied.	"[2.24899190e-02 1.39230746e-02 9.99789623e+00 3.07534765e+03
 6.59041744e-04]"	"[9.63119446e-04 4.33541536e-04 1.90590791e-01 2.63554461e-01
 3.20398958e+00]"
241	True	13.679227590560913	27.229420624398237	0.028898030274480322	0.018103035441296635	0.015547086967779998	0.850078705258317	0.00011625944303150425	`xtol` termination condition is satisfied.	"[2.88980303e-02 1.81030354e-02 1.55470870e-02 8.50078705e-01
 1.16259443e-04]"	"[1.04512368e-05 1.66146383e-02 5.53188253e-02 3.79894568e-04
 2.11309457e-05]"
30	True	12.265324831008911	27.235617966065842	0.023445166748268388	0.014552132194867003	0.20824019795980067	62.82677577014471	0.0006370149419439656	`xtol` termination condition is satisfied.	"[2.34451667e-02 1.45521322e-02 2.08240198e-01 6.28267758e+01
 6.37014942e-04]"	"[3.79185012e+00 5.95895783e-01 1.28630312e-02 4.27938619e+03
 2.18296643e-05]"
74	True	9.255712747573853	27.237038973194878	0.02937700985806206	0.01843150907789945	0.014816328880287387	0.8039982685750966	0.00011588290579622284	`xtol` termination condition is satisfied.	"[2.93770099e-02 1.84315091e-02 1.48163289e-02 8.03998269e-01
 1.15882906e-04]"	"[2.54483982e+00 2.68952070e-03 9.52983480e-02 1.48229355e+01
 7.72622872e-05]"
215	True	12.650397777557373	27.23885985337109	0.02322248232208879	0.014433360758718823	0.5424988324251172	164.95265191107612	0.000645680744164478	`xtol` termination condition is satisfied.	"[2.32224823e-02 1.44333608e-02 5.42498832e-01 1.64952652e+02
 6.45680744e-04]"	"[5.68306284e-05 7.01038763e-03 3.12471092e+00 8.54635984e+02
 1.08597300e-03]"
71	True	15.073058366775513	27.24002676936978	0.023275955824932217	0.014458597106169884	1.4932929223162796	454.2482853208286	0.0006439063947856281	`xtol` termination condition is satisfied.	"[2.32759558e-02 1.44585971e-02 1.49329292e+00 4.54248285e+02
 6.43906395e-04]"	"[1.68297048e-05 2.87831862e-04 1.16878945e+00 1.14031268e+01
 3.85456627e-04]"
67	True	13.340202808380127	27.242690462134224	0.026674941969218005	0.016662887736557486	0.011475732633534358	3.315567501570834	0.0005989609353319058	`xtol` termination condition is satisfied.	"[2.66749420e-02 1.66628877e-02 1.14757326e-02 3.31556750e+00
 5.98960935e-04]"	"[3.27794377e-05 1.87109414e-01 2.79388481e-04 8.23309728e+03
 9.41312546e-03]"
